Country;Population(2020);Land Area(Km²);Density(P/Km²);wiki_site;wiki_status
Afghanistan;38928346;652860;60;https://en.wikipedia.org/wiki/Afghanistan;200.0
Albania;2877797;27400;105;https://en.wikipedia.org/wiki/Albania;200.0
Algeria;43851044;2381740;18;https://en.wikipedia.org/wiki/Algeria;200.0
Andorra;77265;470;164;https://en.wikipedia.org/wiki/Andorra;200.0
Angola;32866272;1246700;26;https://en.wikipedia.org/wiki/Angola;200.0
Antigua and Barbuda;97929;440;223;https://en.wikipedia.org/wiki/Antigua_And_Barbuda;200.0
Argentina;45195774;2736690;17;https://en.wikipedia.org/wiki/Argentina;200.0
Armenia;2963243;28470;104;https://en.wikipedia.org/wiki/Armenia;200.0
Australia;25499884;7682300;3;https://en.wikipedia.org/wiki/Australia;200.0
Austria;9006398;82409;109;https://en.wikipedia.org/wiki/Austria;200.0
Azerbaijan;10139177;82658;123;https://en.wikipedia.org/wiki/Azerbaijan;200.0
Bahamas;393244;10010;39;https://en.wikipedia.org/wiki/Bahamas;200.0
Bahrain;1701575;760;2239;https://en.wikipedia.org/wiki/Bahrain;200.0
Bangladesh;164689383;130170;1265;https://en.wikipedia.org/wiki/Bangladesh;200.0
Barbados;287375;430;668;https://en.wikipedia.org/wiki/Barbados;200.0
Belarus;9449323;202910;47;https://en.wikipedia.org/wiki/Belarus;200.0
Belgium;11589623;30280;383;https://en.wikipedia.org/wiki/Belgium;200.
Belize;397628;22810;17;https://en.wikipedia.org/wiki/Belize;200.0
Benin;12123200;112760;108;https://en.wikipedia.org/wiki/Benin;200.0
Bhutan;771608;38117;20;https://en.wikipedia.org/wiki/Bhutan;200.0
Bolivia;11673021;1083300;11;https://en.wikipedia.org/wiki/Bolivia;200.0
Bosnia and Herzegovina;3280819;51000;64;https://en.wikipedia.org/wiki/Bosnia_And_Herzegovina;200.0
Botswana;2351627;566730;4;https://en.wikipedia.org/wiki/Botswana;200.0
Brazil;212559417;8358140;25;https://en.wikipedia.org/wiki/Brazil;200.0
Brunei;437479;5270;83;https://en.wikipedia.org/wiki/Brunei;200.0
Bulgaria;6948445;108560;64;https://en.wikipedia.org/wiki/Bulgaria;200.0
Burkina Faso;20903273;273600;76;https://en.wikipedia.org/wiki/Burkina_Faso;200.0
Burundi;11890784;25680;463;https://en.wikipedia.org/wiki/Burundi;200.0
Côte dIvoire;26378274;318000;83;https://en.wikipedia.org/wiki/Côte_Divoire;200.0
Cabo Verde;555987;4030;138;https://en.wikipedia.org/wiki/Cabo_Verde;200.0
Cambodia;16718965;176520;95;https://en.wikipedia.org/wiki/Cambodia;200.0
Cameroon;26545863;472710;56;https://en.wikipedia.org/wiki/Cameroon;200.0
Canada;37742154;9093510;4;https://en.wikipedia.org/wiki/Canada;200.0
Central African Republic;4829767;622980;8;https://en.wikipedia.org/wiki/Central_African_Republic;200.0
Chad;16425864;1259200;13;https://en.wikipedia.org/wiki/Chad;200.0
Chile;19116201;743532;26;https://en.wikipedia.org/wiki/Chile;200.0
China;1439323776;9388211;153;https://en.wikipedia.org/wiki/China;200.0
Colombia;50882891;1109500;46;https://en.wikipedia.org/wiki/Colombia;200.0
Comoros;869601;1861;467;https://en.wikipedia.org/wiki/Comoros;200.0
Congo;5518087;341500;16;https://en.wikipedia.org/wiki/Congo;200.0
Costa Rica;5094118;51060;100;https://en.wikipedia.org/wiki/Costa_Rica;200.0
Croatia;4105267;55960;73;https://en.wikipedia.org/wiki/Croatia;200.0
Cuba;11326616;106440;106;https://en.wikipedia.org/wiki/Cuba;200.0
